Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
369704,Soros on Soros: Staying Ahead of the Curve,George Soros,"Soros, George",,"=""0471119776""","=""9780471119777""",0,3.75,Wiley,Paperback,336,1995,1994,,2026/02/06,,,read,,,,1,0
186124,Fortune's Formula: The Untold Story of the Scientific Betting System That Beat the Casinos and Wall Street,William Poundstone,"Poundstone, William",,"=""0809045990""","=""9780809045990""",0,4.18,Hill and Wang,Paperback,386,2006,2006,,2026/02/13,to-read,to-read (#490),to-read,,,,0,0
244967568,The Everywhere Millionaire: Who Is Really Rich in America and How They Got There,Owen Zidar,"Zidar, Owen",Eric Zwick,"=""1250378508""","=""9781250378507""",0,4.00,Henry Holt and Co.,Hardcover,368,2026,,,2026/02/12,to-read,to-read (#489),to-read,,,,0,0
7651910,The Soros Lectures: At the Central European University,George Soros,"Soros, George",,"=""1586488856""","=""9781586488857""",0,3.72,PublicAffairs,Hardcover,119,2010,2010,,2026/02/06,to-read,to-read (#488),to-read,,,,0,0
3191235,The New Paradigm for Financial Markets: The Credit Crisis of 2008 and What It Means,George Soros,"Soros, George",,"=""1586486837""","=""9781586486839""",0,3.42,PublicAffairs,Hardcover,163,2008,2008,,2026/02/06,to-read,to-read (#487),to-read,,,,0,0
369708,The Alchemy of Finance (Wiley Investment Classics),George Soros,"Soros, George",Paul A. Volcker,"=""0471445495""","=""9780471445494""",0,3.75,Wiley,Paperback,416,2015,1987,,2026/02/06,,,read,,,,1,0
771283,"MITI and the Japanese Miracle: The Growth of Industrial Policy, 1925-1975",Chalmers Johnson,"Johnson, Chalmers",,"=""0804712069""","=""9780804712064""",0,4.02,Stanford University Press,Paperback,393,1982,1982,,2026/02/06,to-read,to-read (#486),to-read,,,,0,0
242472,The Black Swan: The Impact of the Highly Improbable,Nassim Nicholas Taleb,"Taleb, Nassim Nicholas",,"=""1400063515""","=""9781400063512""",0,3.96,Random House ,Hardcover,480,2007,2007,,2026/01/25,to-read,to-read (#485),to-read,,,,0,0
100779,Reminiscences of a Stock Operator,Edwin Lefèvre,"Lefèvre, Edwin","Roger Lowenstein, Rick Rohan","=""0471770884""","=""9780471770886""",0,4.18,Doubleday & Company,Hardcover,308,1923,,,2026/01/25,to-read,to-read (#484),to-read,,,,0,0
495065,The Education of a Speculator,Victor Niederhoffer,"Niederhoffer, Victor",,"=""0471249483""","=""9780471249481""",0,3.48,Wiley,Paperback,464,1998,1996,,2026/01/25,to-read,to-read (#483),to-read,,,,0,0
133081281,"[ The Guermantes Way (Modern Library (Paperback) #03) By Proust, Marcel ( Author ) Paperback 1998 ]",Marcel Proust,"Proust, Marcel",,"=""""","=""""",0,4.27,Modern Library Nov-01-1998,Paperback,0,1998,1920,,2026/01/24,,,read,,,,1,0
1176160,Napoléon,Stendhal,"Stendhal, Stendhal",,"=""2234050332""","=""9782234050334""",0,3.44,Stock,Paperback,752,1998,1832,,2026/01/23,to-read,to-read (#482),to-read,,,,0,0
178794,China: A New History,John King Fairbank,"Fairbank, John King",Merle Goldman,"=""0674018281""","=""9780674018280""",0,3.87,Belknap Press: An Imprint of Harvard University Press,Paperback,640,2006,1992,,2026/01/16,to-read,to-read (#481),to-read,,,,0,0
1035825,Taipei People,Pai Hsien-yung,"Hsien-yung, Pai","Patia Yasin, George Kao","=""9622018599""","=""9789622018594""",0,4.28,The Chinese University of Hong Kong Press,Paperback,484,2000,1971,,2026/01/15,to-read,to-read (#480),to-read,,,,0,0
734666,China: A Macro History (An East Gate Book),Ray Huang,"Huang, Ray",,"=""1563247313""","=""9781563247316""",0,4.00,M. E. Sharpe,Paperback,335,1996,1955,,2026/01/13,to-read,to-read (#479),to-read,,,,0,0
971850,My Life Between Japan and America,Edwin O. Reischauer,"Reischauer, Edwin O.",,"=""0060390549""","=""9780060390549""",0,4.10,HarperCollins,Hardcover,367,1986,1986,,2026/01/13,to-read,to-read (#478),to-read,,,,0,0
