Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2018-10-28,There Will Be Blood,2007,https://boxd.it/y8GQv,3.5,,,2018-10-15
2018-10-29,The Killing of a Sacred Deer,2017,https://boxd.it/ybhYv,3.5,,,2018-10-17
2018-10-18,The Kindergarten Teacher,2018,https://boxd.it/xKY0p,4,,,2018-10-18
2018-10-29,I Wish,2011,https://boxd.it/ybitt,3.5,,,2018-10-18
2018-10-27,It Follows,2014,https://boxd.it/y6fIZ,1.5,,,2018-10-27
2018-10-27,Tokyo Story,1953,https://boxd.it/y6fS1,4,,,2018-10-27
2018-10-28,American Sniper,2014,https://boxd.it/y8GNV,3.5,,,2018-10-28
2018-11-08,I Don't Feel at Home in This World Anymore,2017,https://boxd.it/yyJWD,3,,,2018-11-07
2018-11-08,A Single Man,2009,https://boxd.it/yyK43,,Yes,,2018-11-07
2019-01-01,Ordinary People,1980,https://boxd.it/AYQCP,4.5,,,2018-12-10
2018-12-17,Summer with Monika,1953,https://boxd.it/A9HT1,,,,2018-12-14
2018-12-17,Shoplifters,2018,https://boxd.it/A9HOZ,3.5,,,2018-12-15
2018-12-17,Gattaca,1997,https://boxd.it/A9HId,4,,,2018-12-16
2019-01-03,North by Northwest,1959,https://boxd.it/B5EWd,,,,2018-12-17
2018-12-31,Me and Earl and the Dying Girl,2015,https://boxd.it/AUezb,3.5,,,2018-12-20
2019-01-01,District 9,2009,https://boxd.it/AYQil,,,,2018-12-23
2019-01-01,The Christmas Chronicles,2018,https://boxd.it/AYQ8F,0.5,,,2018-12-24
2018-12-31,Hitch,2005,https://boxd.it/AUc1h,,,,2018-12-25
2018-12-29,Silver Linings Playbook,2012,https://boxd.it/AHY51,4.5,,,2018-12-28
2018-12-31,The Hours,2002,https://boxd.it/AUbX5,,,,2018-12-28
2018-12-31,Arrival,2016,https://boxd.it/AUbHr,,,,2018-12-30
2018-12-31,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/AUbNT,4.5,,,2018-12-30
2019-01-01,Burn After Reading,2008,https://boxd.it/AYPMp,3,,,2018-12-31
2019-01-03,Burning,2018,https://boxd.it/B5Djp,4,,,2019-01-02
2019-01-07,A Silent Voice: The Movie,2016,https://boxd.it/Bs3hN,,,,2019-01-06
2019-01-07,Late Spring,1949,https://boxd.it/Bs3nB,,,,2019-01-06
2019-05-29,Barry Lyndon,1975,https://boxd.it/IU9xh,,,,2019-05-09
2019-05-14,Tiny Furniture,2010,https://boxd.it/I9Y97,,,criterion,2019-05-12
2019-05-14,Creative Nonfiction,2009,https://boxd.it/I9Yfp,,,,2019-05-13
2019-06-08,Rope,1948,https://boxd.it/JnKAb,,,,2019-05-13
2019-06-01,Roma,2018,https://boxd.it/J2riv,,,,2019-05-16
2019-05-25,The Virgin Suicides,1999,https://boxd.it/IEyjH,,,criterion,2019-05-22
2019-05-25,Avengers: Endgame,2019,https://boxd.it/IEyrh,,,,2019-05-23
2019-06-08,Mind Game,2004,https://boxd.it/JmrOL,,,,2019-05-24
2019-05-31,Thoroughbreds,2017,https://boxd.it/J0f4H,,,,2019-05-31
2019-06-05,8½,1963,https://boxd.it/JevVF,,,criterion,2019-06-04
2019-06-05,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",1975,https://boxd.it/JfaY1,,,,2019-06-05
2019-06-06,I Vitelloni,1953,https://boxd.it/Jgc0T,,,,2019-06-05
2019-06-06,La Dolce Vita,1960,https://boxd.it/JhYwP,,,,2019-06-06
2019-06-07,Through a Glass Darkly,1961,https://boxd.it/JkQ2j,,,,2019-06-07
2019-06-07,Winter Light,1963,https://boxd.it/JkQ2X,,,,2019-06-07
2019-06-07,Heathers,1989,https://boxd.it/JkQ3V,,,,2019-06-07
2019-06-08,Close-Up,1990,https://boxd.it/Jnyh7,,,,2019-06-07
2019-06-08,Gates of Heaven,1978,https://boxd.it/JnNex,,,,2019-06-08
2019-06-08,Ugetsu,1953,https://boxd.it/JnX5Z,,,,2019-06-08
2019-06-09,Woman in the Dunes,1964,https://boxd.it/Jqtm3,,,,2019-06-08
2019-06-09,Odd Obsession,1959,https://boxd.it/JqQpz,,,,2019-06-08
2019-06-11,Tampopo,1985,https://boxd.it/Jy1lx,,,,2019-06-09
2019-06-17,Floating Weeds,1959,https://boxd.it/JPPnn,,,,2019-06-14
2019-06-17,In the Mood for Love,2000,https://boxd.it/JPPsx,4,Yes,,2019-06-15
2019-06-20,Murmur of the Heart,1971,https://boxd.it/JW355,,,,2019-06-17
2019-06-20,Dreams,1990,https://boxd.it/JW36d,,,,2019-06-19
2019-06-20,Taxi Driver,1976,https://boxd.it/JW38j,4,Yes,,2019-06-19
2019-06-21,The Fire Within,1963,https://boxd.it/JYxzD,,,,2019-06-19
2019-06-21,Mouchette,1967,https://boxd.it/JYxAr,,,,2019-06-20
2019-07-05,A Taxing Woman's Return,1988,https://boxd.it/KI24L,,,,2019-07-05
2019-07-05,A Taxing Woman,1987,https://boxd.it/KI25f,,,,2019-07-05
2019-07-05,House,1977,https://boxd.it/KI263,,,,2019-07-05
2019-07-07,Cronos,1992,https://boxd.it/KOKtH,,,,2019-07-06
2019-07-07,Eraserhead,1977,https://boxd.it/KOKDR,,,,2019-07-06
2019-07-07,The Piano Teacher,2001,https://boxd.it/KPbIT,,,,2019-07-07
2019-07-07,The Long Day Closes,1992,https://boxd.it/KPbL9,,,,2019-07-07
2019-07-11,Fish Tank,2009,https://boxd.it/L0pX1,,,criterion,2019-07-10
2019-07-12,American Honey,2016,https://boxd.it/L4uGR,,,,2019-07-11
2019-07-20,Icarus,2017,https://boxd.it/LsvZN,,,,2019-07-19
2019-07-20,Free Solo,2018,https://boxd.it/Lsw4N,,,,2019-07-19
2019-07-21,When We Were Kings,1996,https://boxd.it/LvK8Z,,,,2019-07-20
2019-07-21,My Friend Dahmer,2017,https://boxd.it/LxhUp,,,,2019-07-21
2019-07-23,Creed,2015,https://boxd.it/LCh73,,,,2019-07-22
2019-07-25,The Fighter,2010,https://boxd.it/LJbG1,,,,2019-07-24
2019-08-03,Fitzcarraldo,1982,https://boxd.it/MdApJ,,,,2019-08-03
2019-08-03,Elle,2016,https://boxd.it/MdAqx,,,,2019-08-03
2019-08-14,Unforgiven,1992,https://boxd.it/MNtrZ,,,,2019-08-08
2019-08-14,Once Upon a Time... in Hollywood,2019,https://boxd.it/MNtzf,,,,2019-08-09
2019-08-14,Vanya on 42nd Street,1994,https://boxd.it/MO0Ch,,,,2019-08-10
2019-08-14,The Farewell,2019,https://boxd.it/MNtpf,,,,2019-08-12
2019-08-18,Au Hasard Balthazar,1966,https://boxd.it/N1enh,,,,2019-08-18
2019-08-18,My Dinner with Andre,1981,https://boxd.it/N1oR7,,,,2019-08-18
2019-08-22,The Witch,2015,https://boxd.it/NeybV,,,,2019-08-20
2019-08-22,Hereditary,2018,https://boxd.it/Neyel,,,,2019-08-20
2019-08-22,Rocketman,2019,https://boxd.it/NeyiH,0.5,,,2019-08-20
2019-08-22,Midsommar,2019,https://boxd.it/Neyg7,,,,2019-08-21
2019-08-24,Hiroshima Mon Amour,1959,https://boxd.it/Nk9h7,,,,2019-08-23
2019-08-26,Chinatown,1974,https://boxd.it/NoXnd,,,,2019-08-25
2019-08-26,Repulsion,1965,https://boxd.it/NoXol,,,,2019-08-25
2019-08-26,Jodorowsky's Dune,2013,https://boxd.it/NoXpN,,,,2019-08-25
2019-08-27,The Silence,1963,https://boxd.it/NtTbd,,,,2019-08-26
2019-09-16,The Seventh Continent,1989,https://boxd.it/OvUGp,,,,2019-09-07
2019-09-16,Funny Games,1997,https://boxd.it/OvUCx,,,,2019-09-15
2019-09-23,Chungking Express,1994,https://boxd.it/ORXdp,,,,2019-09-22
2019-09-23,Benny's Video,1992,https://boxd.it/OU6y1,,,,2019-09-22
2019-10-11,Joker,2019,https://boxd.it/PSFmp,1.5,,,2019-10-10
2019-10-11,The White Ribbon,2009,https://boxd.it/PSFoF,,,,2019-10-10
2019-10-11,Tiny Furniture,2010,https://boxd.it/PSFrJ,,Yes,,2019-10-10
2019-10-23,Mirror,1975,https://boxd.it/QChjN,,,,2019-10-20
2019-10-23,Louie Bluie,1985,https://boxd.it/QCh73,,,,2019-10-22
2019-10-23,El Camino: A Breaking Bad Movie,2019,https://boxd.it/QChgz,,,,2019-10-22
2019-11-13,Pather Panchali,1955,https://boxd.it/RTxtx,,,,2019-11-01
2019-11-13,Parasite,2019,https://boxd.it/RTxpv,,,,2019-11-11
2020-01-01,The Irishman,2019,https://boxd.it/VirCv,,,,2019-12-27
2020-01-01,Amour,2012,https://boxd.it/ViHCL,,,,2019-12-30
2020-01-01,Drive,2011,https://boxd.it/VhQXV,,,,2019-12-31
2020-01-01,Star Wars: The Rise of Skywalker,2019,https://boxd.it/VhRab,,,,2019-12-31
2020-01-04,Snow White and the Seven Dwarfs,1937,https://boxd.it/VDz9N,,,,2020-01-03
2020-01-04,Fantasia,1940,https://boxd.it/VDznZ,,,,2020-01-03
2020-01-06,Peter Pan,1953,https://boxd.it/VPEYl,,,,2020-01-05
2020-01-14,1917,2019,https://boxd.it/WDi9Z,,,,2020-01-14
2020-01-14,Skyfall,2012,https://boxd.it/WDieZ,,,,2020-01-14
2020-01-14,Little Women,2019,https://boxd.it/WDihp,,,,2020-01-14
2020-01-15,The Departed,2006,https://boxd.it/WJ4Th,,,,2020-01-15
2020-01-16,Carnal Knowledge,1971,https://boxd.it/WNFdl,,,,2020-01-15
2020-01-17,Inside Llewyn Davis,2013,https://boxd.it/WSGFl,,,,2020-01-16
2020-01-23,Shrek,2001,https://boxd.it/Xrht5,,,,2020-01-22
2020-01-23,Boogie Nights,1997,https://boxd.it/Xrhvl,,,,2020-01-22
2020-04-13,La Ciénaga,2001,https://boxd.it/1561Rb,,,,2020-04-12
2020-04-13,The Green Ray,1986,https://boxd.it/1562Mr,,,,2020-04-12
2020-06-03,The Florida Project,2017,https://boxd.it/1badfb,,,,2020-06-02
2020-06-03,The Housemaid,2010,https://boxd.it/1badi5,,,,2020-06-02
2020-06-06,The Last Temptation of Christ,1988,https://boxd.it/1bvOYT,,,,2020-06-05
2020-06-06,Clouds of Sils Maria,2014,https://boxd.it/1bxDY3,,,,2020-06-06
2020-08-08,To Die For,1995,https://boxd.it/1i08mJ,,,,2020-08-07
2020-08-13,Senna,2010,https://boxd.it/1iAfd7,,,,2020-08-12
2020-08-13,Badlands,1973,https://boxd.it/1iAfmt,,,,2020-08-12
2020-08-13,The Thin Red Line,1998,https://boxd.it/1iAfsh,,,,2020-08-12
2020-08-17,Boys State,2020,https://boxd.it/1j2F8t,,,,2020-08-16
2020-08-22,Full Metal Jacket,1987,https://boxd.it/1jwA2v,,,,2020-08-22
2020-08-26,Knight of Cups,2015,https://boxd.it/1jWuFD,,,,2020-08-26
2020-08-27,Knives Out,2019,https://boxd.it/1k2DLx,,,,2020-08-26
2020-08-27,High Fidelity,2000,https://boxd.it/1k33oz,,,,2020-08-27
2020-08-30,Office Space,1999,https://boxd.it/1kmU25,,,,2020-08-29
2020-09-05,Ocean's Eleven,2001,https://boxd.it/1kV5xB,,,,2020-09-04
2020-09-05,I'm Thinking of Ending Things,2020,https://boxd.it/1l0kfH,,,,2020-09-05
2020-09-09,Weathering with You,2019,https://boxd.it/1lnCu7,,,,2020-09-08
2020-09-09,Seven Samurai,1954,https://boxd.it/1lnCEB,,,,2020-09-08
2020-09-09,Mad Max: Fury Road,2015,https://boxd.it/1lnCLR,,,,2020-09-08
2020-09-12,Basic Instinct,1992,https://boxd.it/1lFiFb,,,,2020-09-11
2020-09-12,WarGames,1983,https://boxd.it/1lFiGj,,,,2020-09-11
2020-09-13,Sixteen Candles,1984,https://boxd.it/1lLF9J,,,,2020-09-12
2020-09-16,Dogville,2003,https://boxd.it/1m78tZ,,,,2020-09-15
2020-10-30,Jaws,1975,https://boxd.it/1qU78v,,,,2020-09-25
2020-10-30,Memories of Murder,2003,https://boxd.it/1qSNFd,,,,2020-10-29
2020-10-30,The Rise of Jordan Peterson,2019,https://boxd.it/1qSOjd,,,,2020-10-29
2020-10-30,Shithouse,2020,https://boxd.it/1qSOlt,,,,2020-10-29
