Date,Name,Year,Letterboxd URI
2018-07-26,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK
2018-07-26,Taxi Driver,1976,https://boxd.it/2b8y
2018-07-26,Black Swan,2010,https://boxd.it/Sw0
2018-07-26,American Beauty,1999,https://boxd.it/71Y
2018-07-26,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY
2018-07-26,Vertigo,1958,https://boxd.it/2apI
2018-07-26,Being John Malkovich,1999,https://boxd.it/2ahu
2018-07-26,The Graduate,1967,https://boxd.it/18Im
2018-07-26,In the Mood for Love,2000,https://boxd.it/29tE
2018-07-26,Her,2013,https://boxd.it/4O24
2018-07-26,Amadeus,1984,https://boxd.it/2aH8
2018-07-26,The Bad Sleep Well,1960,https://boxd.it/1iLA
2018-07-26,Pickpocket,1959,https://boxd.it/29O8
2018-07-26,First Reformed,2017,https://boxd.it/go9C
2018-09-27,Columbus,2017,https://boxd.it/eCuA
2019-05-02,Mishima: A Life in Four Chapters,1985,https://boxd.it/1sBA
2019-05-25,The Virgin Suicides,1999,https://boxd.it/28JG
2019-05-31,Thoroughbreds,2017,https://boxd.it/dVHQ
2019-06-01,Tiny Furniture,2010,https://boxd.it/Kjs
2019-06-05,8½,1963,https://boxd.it/2aqm
2019-06-06,Baby Driver,2017,https://boxd.it/bhF2
2019-06-10,Evangelion: 2.0 You Can (Not) Advance,2009,https://boxd.it/1zYm
2019-06-10,From Up on Poppy Hill,2011,https://boxd.it/2VCa
2019-06-11,Tampopo,1985,https://boxd.it/1SZe
2019-06-11,Ugetsu,1953,https://boxd.it/1NyM
2019-06-20,Murmur of the Heart,1971,https://boxd.it/WKg
2019-06-29,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY
2019-07-05,Bad Genius,2017,https://boxd.it/ggpM
2019-07-11,Fish Tank,2009,https://boxd.it/1xBg
2019-08-03,Elle,2016,https://boxd.it/bdhq
2019-08-22,Midsommar,2019,https://boxd.it/jhxe
2019-08-28,Before Sunrise,1995,https://boxd.it/2bcU
2019-09-16,Funny Games,1997,https://boxd.it/1WKM
2019-09-23,The Burden,2017,https://boxd.it/gkhM
2020-01-01,Burning,2018,https://boxd.it/hHUa
2020-01-01,The Tale of The Princess Kaguya,2013,https://boxd.it/4JQI
2020-01-04,Pinocchio,1940,https://boxd.it/1V8C
2020-06-06,The Last Temptation of Christ,1988,https://boxd.it/1ULe
2020-06-06,Clouds of Sils Maria,2014,https://boxd.it/7f62
2020-08-13,To Die For,1995,https://boxd.it/2a5o
2020-09-09,Mad Max: Fury Road,2015,https://boxd.it/2DjO
2020-09-09,Three Colours: Blue,1993,https://boxd.it/2b7K
2020-09-09,The Piano Teacher,2001,https://boxd.it/2886
2020-10-30,Shithouse,2020,https://boxd.it/nCFc
2020-10-30,Dogville,2003,https://boxd.it/2a8W
2021-04-23,Shiva Baby,2020,https://boxd.it/oIv0
2021-05-04,Tape,2001,https://boxd.it/1yCu
2021-05-11,Parasite,2019,https://boxd.it/hTha
2021-09-28,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI
2021-12-22,Asakusa Kid,2021,https://boxd.it/sRiW
2022-05-11,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",1975,https://boxd.it/T18
2022-06-04,Child of the Stars,2020,https://boxd.it/ryCQ
2022-08-05,Love Exposure,2008,https://boxd.it/1pDe
2023-04-24,Bolt Driver,2021,https://boxd.it/vYla
2023-05-05,An Elephant Sitting Still,2018,https://boxd.it/i1EQ
2023-05-06,Tokyo Trash Baby,2000,https://boxd.it/1M7q
2024-11-26,Ichiko,2023,https://boxd.it/IpPA
2024-11-27,Tamako in Moratorium,2013,https://boxd.it/7miO
2025-02-25,Love & Pop,1998,https://boxd.it/2sv0
2025-11-06,Chainsaw Man – The Movie: Reze Arc,2025,https://boxd.it/Kgyu
2026-02-12,Good Morning,1959,https://boxd.it/2lkk
2026-02-12,Tokyo Story,1953,https://boxd.it/1HuY
